Aberdeen Petroleum Club @ Kippie Lodge,United Kingdom,Grampian,Kippie Lodge! North Deeside Road! Milltimber! Aberdeen,AB13 0AB,+44 (0)1224 732677,info@kippielodge.com,http://www.kippielodge.co.uk,Kippie,Yellow,,,58,1,,300,13,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,119,9,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,164,5,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,78,17,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,177,11,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,216,1,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,139,7,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,178,15,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,193,3,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,,300,14,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,119,10,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,164,6,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13,,78,18,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,,177,12,,3,,3128,,,,,,,,,,,,,
,,,,,,,,,,,,,15,,216,2,,3,,171,,,,,,,,,,,,,
,,,,,,,,,,,,,16,,139,8,,3,,56,,,,,,,,,,,,,
,,,,,,,,,,,,,17,,178,16,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18,,193,4,,3,,,,,,,,,,,,,,,
,,,,,,,,Kippie - 9 Hole,White,,,29,1,,310,7,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,120,5,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,165,3,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,79,9,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,181,6,,3,,1594,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,226,1,,4,,45,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,140,4,,3,,29,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,179,8,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,194,2,,3,,,,,,,,,,,,,,,
Aberdour Golf Club,United Kingdom,Fife,Seaside Place! Aberdour! Burntisland,KY3 0TX,01383 860080 ,aberdourgc@aol.com,http://www.aberdourgolfclub.co.uk/,Aberdour Golf Club,Yellow,,,65,1,,149,11,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,156,13,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,307,6,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,277,16,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,328,9,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,357,5,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,145,17,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,418,1,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,378,4,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,,520,3,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,335,10,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,158,14,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13,,246,15,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,,278,18,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,,161,8,,3,,5131,,,,,,,,,,,,,
,,,,,,,,,,,,,16,,382,2,,4,,171,,,,,,,,,,,,,
,,,,,,,,,,,,,17,,349,7,,4,,67,,,,,,,,,,,,,
,,,,,,,,,,,,,18,,187,12,,3,,,,,,,,,,,,,,,
,,,,,,,,Aberdour Golf Club - Medal,White,,,66,1,,160,12,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,159,10,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,347,5,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,283,13,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,357,8,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,367,3,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,163,17,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,457,1,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,392,4,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,,524,6,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,338,11,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,162,15,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13,,247,18,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,,315,16,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,,168,14,,3,,5447,,,,,,,,,,,,,
,,,,,,,,,,,,,16,,452,2,,4,,171,,,,,,,,,,,,,
,,,,,,,,,,,,,17,,360,7,,4,,67,,,,,,,,,,,,,
,,,,,,,,,,,,,18,,196,9,,3,,,,,,,,,,,,,,,
Aberfeldy Golf Club,United Kingdom,Central Scotland,Taybridge Road! Aberfeldy,PH15 2BH,01887 820535,abergc@supanet.co.uk,http://www.aberfeldygolf.co.uk,Aberfeldy Golf Club,White,,,66,1,,229,9,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,337,15,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,382,5,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,515,1,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,335,17,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,280,3,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,142,7,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,308,13,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,361,11,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,,174,10,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,305,14,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,309,16,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13,,309,6,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,,163,4,,3,,5283,,,,,,,,,,,,,
,,,,,,,,,,,,,15,,289,18,,4,,171,,,,,,,,,,,,,
,,,,,,,,,,,,,16,,363,2,,4,,67,,,,,,,,,,,,,
,,,,,,,,,,,,,17,,367,8,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18,,115,12,,3,,,,,,,,,,,,,,,
,,,,,,,,Aberfeldy Golf Club,Yellow,,,64,1,,170,9,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,276,15,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,376,5,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,492,1,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,316,17,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,269,3,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,111,7,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,297,13,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,349,11,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,,164,10,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,293,14,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,291,16,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13,,299,6,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,,157,4,,3,,4903,,,,,,,,,,,,,
,,,,,,,,,,,,,15,,238,18,,3,,171,,,,,,,,,,,,,
,,,,,,,,,,,,,16,,349,2,,4,,67,,,,,,,,,,,,,
,,,,,,,,,,,,,17,,356,8,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18,,100,12,,3,,,,,,,,,,,,,,,
Aberfoyle Golf Club,United Kingdom,Central Scotland,Braeval! Aberfoyle,FK8 3UY,01877 382493,secretary@aberfoylegolf.co.uk,http://www.aberfoylegolf.com/,Aberfoyle Golf Club- Medal,White,,,66,1,,318,16,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,340,6,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,359,4,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,256,12,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,227,2,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,160,18,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,305,8,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,158,14,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,376,10,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,,123,13,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,401,3,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,169,15,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13,,158,17,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,,417,1,,4,,5158,,,,,,,,,,,,,
,,,,,,,,,,,,,15,,326,5,,4,,171,,,,,,,,,,,,,
,,,,,,,,,,,,,16,,345,11,,4,,66,,,,,,,,,,,,,
,,,,,,,,,,,,,17,,352,7,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18,,368,9,,4,,,,,,,,,,,,,,,
,,,,,,,,,Yellow,,,66,1,,262,16,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,333,6,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,307,4,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,247,12,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,194,2,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,148,18,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,283,8,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,134,14,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,361,10,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,,118,13,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,378,3,,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,12,,130,15,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,13,,150,17,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,14,,403,1,,4,,4767,,,,,,,,,,,,,
