Aberdelghy Golf Club,United Kingdom,County Antrim,Bells Lane! Lambeg! Lisburn,BT27 4QH,01846 662738,mmsports@btopenworld.com,,Aberdelghy,White,,,62,1,,283,15,,4
,,,,,,,,,,,,,2,,180,5,,3
,,,,,,,,,,,,,3,,340,1,,4
,,,,,,,,,,,,,4,,208,11,,4
,,,,,,,,,,,,,5,,118,13,,3
,,,,,,,,,,,,,6,,257,7,,4
,,,,,,,,,,,,,7,,218,3,,4
,,,,,,,,,,,,,8,,93,17,,3
,,,,,,,,,,,,,9,,322,9,,4
,,,,,,,,,,,,,10,,339,4,,4
,,,,,,,,,,,,,11,,324,10,,4
,,,,,,,,,,,,,12,,99,16,,3
,,,,,,,,,,,,,13,,260,6,,4
,,,,,,,,,,,,,14,,119,14,,3
,,,,,,,,,,,,,15,,339,2,,4
,,,,,,,,,,,,,16,,103,18,,3
,,,,,,,,,,,,,17,,282,12,,4
,,,,,,,,,,,,,18,,255,8,,4
,,,,,,,,Aberdelghy,Yellow,,,66,1,,283,15,,4
,,,,,,,,,,,,,2,,180,5,,3
,,,,,,,,,,,,,3,,340,1,,4
,,,,,,,,,,,,,4,,208,11,,4
,,,,,,,,,,,,,5,,118,13,,3
,,,,,,,,,,,,,6,,257,7,,4
,,,,,,,,,,,,,7,,218,3,,4
,,,,,,,,,,,,,8,,93,17,,3
,,,,,,,,,,,,,9,,322,9,,4
,,,,,,,,,,,,,10,,339,4,,4
,,,,,,,,,,,,,11,,324,10,,4
,,,,,,,,,,,,,12,,99,16,,3
,,,,,,,,,,,,,13,,260,6,,4
,,,,,,,,,,,,,14,,119,14,,3
,,,,,,,,,,,,,15,,339,2,,4
,,,,,,,,,,,,,16,,103,18,,3
,,,,,,,,,,,,,17,,282,12,,4
,,,,,,,,,,,,,18,,255,8,,4
,,,,,,,,Aberdelghy- Blue 18 / Back 9 x2,Yellow,,,65,1,,376,3,,4
,,,,,,,,,,,,,2,,360,5,,4
,,,,,,,,,,,,,3,,108,17,,3
,,,,,,,,,,,,,4,,304,7,,4
,,,,,,,,,,,,,5,,129,13,,3
,,,,,,,,,,,,,6,,400,1,,4
,,,,,,,,,,,,,7,,111,15,,3
,,,,,,,,,,,,,8,,319,9,,4
,,,,,,,,,,,,,9,,287,11,,4
,,,,,,,,,,,,,10,,376,4,,4
,,,,,,,,,,,,,11,,360,6,,4
,,,,,,,,,,,,,12,,108,18,,3
,,,,,,,,,,,,,13,,304,8,,4
,,,,,,,,,,,,,14,,129,14,,3
,,,,,,,,,,,,,15,,400,2,,4
,,,,,,,,,,,,,16,,111,16,,3
,,,,,,,,,,,,,17,,319,10,,4
,,,,,,,,,,,,,18,,287,12,,4
Allen Park Golf Centre,United Kingdom,County Antrim,45 Castle Road! Antrim,BT41 4NA,028 9442 9001 ,allenpark@antrim.gov.uk,http://www.antrim.gov.uk/index.cfm?website_Key=27&Category_key=129&Page_Key=489,Allen Park Golf Centre,Yellow,,,71,1,,421,9,,4
,,,,,,,,,,,,,2,,281,13,,4
,,,,,,,,,,,,,3,,311,17,,4
,,,,,,,,,,,,,4,,304,15,,4
,,,,,,,,,,,,,5,,490,5,,5
,,,,,,,,,,,,,6,,547,1,,5
,,,,,,,,,,,,,7,,156,7,,3
,,,,,,,,,,,,,8,,437,3,,4
,,,,,,,,,,,,,9,,378,11,,4
,,,,,,,,,,,,,10,,410,10,,4
,,,,,,,,,,,,,11,,185,14,,3
,,,,,,,,,,,,,12,,388,4,,4
,,,,,,,,,,,,,13,,473,6,,5
,,,,,,,,,,,,,14,,523,2,,5
,,,,,,,,,,,,,15,,119,18,,3
,,,,,,,,,,,,,16,,354,16,,4
,,,,,,,,,,,,,17,,184,8,,3
,,,,,,,,,,,,,18,,382,12,,4
,,,,,,,,Allen Park Golf Centre,Green,,,70,1,,421,9,,4
,,,,,,,,,,,,,2,,281,13,,4
,,,,,,,,,,,,,3,,311,17,,4
,,,,,,,,,,,,,4,,304,15,,4
,,,,,,,,,,,,,5,,490,5,,5
,,,,,,,,,,,,,6,,547,1,,5
,,,,,,,,,,,,,7,,156,7,,3
,,,,,,,,,,,,,8,,437,3,,4
,,,,,,,,,,,,,9,,378,11,,4
,,,,,,,,,,,,,10,,410,10,,4
,,,,,,,,,,,,,11,,185,14,,3
,,,,,,,,,,,,,12,,388,4,,4
,,,,,,,,,,,,,13,,473,6,,5
,,,,,,,,,,,,,14,,523,2,,5
,,,,,,,,,,,,,15,,119,18,,3
,,,,,,,,,,,,,16,,354,16,,4
,,,,,,,,,,,,,17,,184,8,,3
,,,,,,,,,,,,,18,,382,12,,4
Antrim Golf Club,United Kingdom,County Antrim,45 Castle Road,BT41 4NA,028 9442 9001,antrim.golfclub@ntlworld.com,http://www.antrimgolfclub.com/,Allen Park,Yellow,,,72,1,,421,9,,4
,,,,,,,,,,,,,2,,281,13,,4
,,,,,,,,,,,,,3,,311,17,,4
,,,,,,,,,,,,,4,,304,15,,4
,,,,,,,,,,,,,5,,490,5,,5
,,,,,,,,,,,,,6,,547,1,,5
,,,,,,,,,,,,,7,,156,7,,3
,,,,,,,,,,,,,8,,437,3,,4
,,,,,,,,,,,,,9,,378,11,,4
,,,,,,,,,,,,,10,,410,10,,4
,,,,,,,,,,,,,11,,185,14,,3
,,,,,,,,,,,,,12,,388,4,,4
,,,,,,,,,,,,,13,,473,6,,5
,,,,,,,,,,,,,14,,523,2,,5
,,,,,,,,,,,,,15,,119,18,,3
,,,,,,,,,,,,,16,,354,16,,4
,,,,,,,,,,,,,17,,184,8,,3
,,,,,,,,,,,,,18,,382,12,,4
,,,,,,,,Allen Park,White,,,72,1,,421,9,,4
,,,,,,,,,,,,,2,,291,13,,4
,,,,,,,,,,,,,3,,321,17,,4
,,,,,,,,,,,,,4,,323,15,,4
,,,,,,,,,,,,,5,,505,11,,5
,,,,,,,,,,,,,6,,562,1,,5
,,,,,,,,,,,,,7,,181,7,,3
,,,,,,,,,,,,,8,,452,3,,4
,,,,,,,,,,,,,9,,431,5,,4
,,,,,,,,,,,,,10,,421,10,,4
,,,,,,,,,,,,,11,,199,14,,3
,,,,,,,,,,,,,12,,407,4,,4
,,,,,,,,,,,,,13,,485,12,,5
,,,,,,,,,,,,,14,,534,2,,5
,,,,,,,,,,,,,15,,129,18,,3
,,,,,,,,,,,,,16,,368,16,,4
,,,,,,,,,,,,,17,,199,8,,3
,,,,,,,,,,,,,18,,392,6,,4
Ardglass Golf Club,United Kingdom,County Down,Castle Place! Ardglass,BT30 7TP,028 4484 1219,info@ardglassgolfclub.com,http://www.ardglassgolfclub.com,Ardglass,White,,,68,1,,335,10,,4
,,,,,,,,,,,,,2,,167,14,,3
,,,,,,,,,,,,,3,,334,16,,4
,,,,,,,,,,,,,4,,480,6,,5
,,,,,,,,,,,,,5,,404,4,,4
,,,,,,,,,,,,,6,,219,12,,3
,,,,,,,,,,,,,7,,439,2,,4
,,,,,,,,,,,,,8,,527,8,,5
,,,,,,,,,,,,,9,,205,13,,3
,,,,,,,,,,,,,10,,488,3,,5
,,,,,,,,,,,,,11,,198,7,,3
,,,,,,,,,,,,,12,,397,1,,4
,,,,,,,,,,,,,13,,400,11,,4
,,,,,,,,,,,,,14,,491,15,,5
,,,,,,,,,,,,,15,,422,5,,4
,,,,,,,,,,,,,16,,361,9,,4
,,,,,,,,,,,,,17,,130,18,,3
,,,,,,,,,,,,,18,,345,17,,4
,,,,,,,,Ardglass - Medal,White,,,70,1,,335,10,,4
,,,,,,,,,,,,,2,,167,14,,3
,,,,,,,,,,,,,3,,334,16,,4
,,,,,,,,,,,,,4,,375,6,,4
,,,,,,,,,,,,,5,,151,18,,3
,,,,,,,,,,,,,6,,414,4,,4
,,,,,,,,,,,,,7,,219,12,,3
,,,,,,,,,,,,,8,,439,2,,4
,,,,,,,,,,,,,9,,527,8,,5
,,,,,,,,,,,,,10,,205,13,,3
,,,,,,,,,,,,,11,,488,3,,5
,,,,,,,,,,,,,12,,198,7,,3
,,,,,,,,,,,,,13,,397,1,,4
,,,,,,,,,,,,,14,,400,11,,4
,,,,,,,,,,,,,15,,491,15,,5
,,,,,,,,,,,,,16,,422,5,,4
,,,,,,,,,,,,,17,,361,9,,4
,,,,,,,,,,,,,18,,345,17,,4
Ardminnan Golf Club,United Kingdom,County Down,15 Ardminnan Road! Portaferry,BT22 1QY,028 9177 1321,info@ardminnan.com,http://www.ardminnan.com,,N/A,,,N/A,,,,,,
Ashfield,United Kingdom,County Down,,,,,,Ashfield,White,,,67,1,,337,12,,4
,,,,,,,,,,,,,2,,334,8,,4
,,,,,,,,,,,,,3,,167,10,,3
,,,,,,,,,,,,,4,,389,4,,4
,,,,,,,,,,,,,5,,343,2,,4
,,,,,,,,,,,,,6,,194,6,,3
,,,,,,,,,,,,,7,,254,18,,4
,,,,,,,,,,,,,8,,155,14,,3
,,,,,,,,,,,,,9,,493,16,,5
,,,,,,,,,,,,,10,,344,9,,4
,,,,,,,,,,,,,11,,360,5,,4
,,,,,,,,,,,,,12,,335,11,,4
,,,,,,,,,,,,,13,,142,17,,3
,,,,,,,,,,,,,14,,334,15,,4
,,,,,,,,,,,,,15,,480,7,,5
,,,,,,,,,,,,,16,,153,13,,3
,,,,,,,,,,,,,17,,444,1,,4
,,,,,,,,,,,,,18,,348,3,,4
Ashwoods Golf Centre,United Kingdom,County Fermanagh,Sligo Rd! Enniskillen,BT74 7JY,01365 325321322908,,,,N/A,,,N/A,,,,,,
Aughnacloy Golf Club,United Kingdom,County Tyrone,99 Tullyvar Road! Aughnacloy,BT69 6BL,8555 7050,,,Aughnacloy Golf Club,White,,,69,1,,359,5,,4
,,,,,,,,,,,,,2,,274,15,,4
,,,,,,,,,,,,,3,,440,3,,4
,,,,,,,,,,,,,4,,327,9,,4
,,,,,,,,,,,,,5,,146,13,,3
,,,,,,,,,,,,,6,,293,7,,4
,,,,,,,,,,,,,7,,523,11,,5
,,,,,,,,,,,,,8,,391,1,,4
,,,,,,,,,,,,,9,,119,17,,3
,,,,,,,,,,,,,10,,539,4,,5
,,,,,,,,,,,,,11,,220,16,,4
,,,,,,,,,,,,,12,,429,2,,4
,,,,,,,,,,,,,13,,324,8,,4
,,,,,,,,,,,,,14,,171,6,,3
,,,,,,,,,,,,,15,,159,10,,3
,,,,,,,,,,,,,16,,501,14,,5
,,,,,,,,,,,,,17,,416,12,,5
,,,,,,,,,,,,,18,,108,18,,3
Ballycastle Golf Club,United Kingdom,County Antrim,Cushendall Rd! Ballycastle! Ballycastle,BT54 6QP,028 2076 2536,info@ballycastlegolfclub.com,http://www.ballycastlegolfclub.com,Ballycastle Golf Club,Green,,,69,1,,446,9,,5
,,,,,,,,,,,,,2,,348,3,,4
,,,,,,,,,,,,,3,,153,13,,3
,,,,,,,,,,,,,4,,402,1,,4
,,,,,,,,,,,,,5,,254,17,,4
,,,,,,,,,,,,,6,,301,15,,4
,,,,,,,,,,,,,7,,400,7,,4
,,,,,,,,,,,,,8,,303,11,,4
,,,,,,,,,,,,,9,,341,5,,4
,,,,,,,,,,,,,10,,109,16,,3
,,,,,,,,,,,,,11,,325,12,,4
,,,,,,,,,,,,,12,,486,10,,5
,,,,,,,,,,,,,13,,138,14,,3
,,,,,,,,,,,,,14,,363,2,,4
,,,,,,,,,,,,,15,,401,4,,4
,,,,,,,,,,,,,16,,290,18,,4
,,,,,,,,,,,,,17,,179,8,,3
,,,,,,,,,,,,,18,,505,6,,5
,,,,,,,,Ballycastle - White,White,,,68,1,,456,9,,5
,,,,,,,,,,,,,2,,358,3,,4
,,,,,,,,,,,,,3,,168,13,,3
,,,,,,,,,,,,,4,,410,1,,4
,,,,,,,,,,,,,5,,264,17,,4
,,,,,,,,,,,,,6,,310,15,,4
,,,,,,,,,,,,,7,,416,7,,4
,,,,,,,,,,,,,8,,331,11,,4
,,,,,,,,,,,,,9,,359,5,,4
,,,,,,,,,,,,,10,,115,16,,3
,,,,,,,,,,,,,11,,346,12,,4
