Abbeyleix Golf Club,Ireland,Central,Rathmoyle! Abbeyleix! Laois! Eire,,0502 31450,info@abbeyleixgolfclub.ie,http://www.abbeyleixgolfclub.ie/,,N/A,,,N/A,,,,,,,,
Ballinlough Castle Golf Club,Ireland,Central,Clonmellon! Westmeath,,+353 46 94 33760,golf@ballinloughcastle.com,http://www.ballinloughcastle.com/,Ballinlough Castle,White,,,69,1,,365,9,,4,,
,,,,,,,,,,,,,2,,476,1,,4,,
,,,,,,,,,,,,,3,,191,7,,3,,
,,,,,,,,,,,,,4,,412,3,,4,,
,,,,,,,,,,,,,5,,160,15,,3,,
,,,,,,,,,,,,,6,,528,13,,5,,
,,,,,,,,,,,,,7,,367,11,,4,,
,,,,,,,,,,,,,8,,278,17,,4,,
,,,,,,,,,,,,,9,,395,5,,4,,
,,,,,,,,,,,,,10,,390,2,,4,,
,,,,,,,,,,,,,11,,410,4,,4,,
,,,,,,,,,,,,,12,,362,10,,4,,6025
,,,,,,,,,,,,,13,,339,14,,4,,171
,,,,,,,,,,,,,14,,94,16,,3,,69
,,,,,,,,,,,,,15,,380,8,,4,,
,,,,,,,,,,,,,16,,373,12,,4,,
,,,,,,,,,,,,,17,,383,6,,4,,
,,,,,,,,,,,,,18,,122,18,,3,,
Belturbet Golf Club,Ireland,Central,Erne Hill! Belturbet! Cavan! Eire,,049 952 2498,,,Belturbet,White,,,65,1,,295,15,,4,,
,,,,,,,,,,,,,2,,380,3,,4,,
,,,,,,,,,,,,,3,,477,11,,5,,
,,,,,,,,,,,,,4,,185,7,,3,,
,,,,,,,,,,,,,5,,348,5,,4,,
,,,,,,,,,,,,,6,,119,17,,3,,
,,,,,,,,,,,,,7,,423,1,,4,,
,,,,,,,,,,,,,8,,305,13,,4,,
,,,,,,,,,,,,,9,,145,9,,3,,
,,,,,,,,,,,,,10,,295,16,,4,,
,,,,,,,,,,,,,11,,380,4,,4,,
,,,,,,,,,,,,,12,,477,12,,5,,5347
,,,,,,,,,,,,,13,,178,8,,3,,171
