Aberdare Golf Club,United Kingdom,Mid Glamorgan,Abernant! Aberdare,CF44 0RY,01685 872797,sec-agc@tiscali.co.uk,http://www.aberdaregolfclub.co.uk/,Aberdare Golf Club,Yellow,,,69,1,,424,2,,4
,,,,,,,,,,,,,2,,481,16,,5
,,,,,,,,,,,,,3,,412,6,,4
,,,,,,,,,,,,,4,,233,4,,3
,,,,,,,,,,,,,5,,110,15,,3
,,,,,,,,,,,,,6,,320,12,,4
,,,,,,,,,,,,,7,,142,13,,3
,,,,,,,,,,,,,8,,500,8,,5
,,,,,,,,,,,,,9,,320,10,,4
,,,,,,,,,,,,,10,,385,1,,4
,,,,,,,,,,,,,11,,297,17,,4
,,,,,,,,,,,,,12,,178,9,,3
,,,,,,,,,,,,,13,,370,11,,4
,,,,,,,,,,,,,14,,130,18,,3
,,,,,,,,,,,,,15,,400,3,,4
,,,,,,,,,,,,,16,,475,14,,5
,,,,,,,,,,,,,17,,159,7,,3
,,,,,,,,,,,,,18,,431,5,,4
,,,,,,,,Aberdare - Winter,White,,,66,1,,376,7,,4
,,,,,,,,,,,,,2,,475,15,,5
,,,,,,,,,,,,,3,,412,1,,4
,,,,,,,,,,,,,4,,200,5,,3
,,,,,,,,,,,,,5,,311,9,,4
,,,,,,,,,,,,,6,,425,3,,4
,,,,,,,,,,,,,7,,93,17,,3
,,,,,,,,,,,,,8,,302,11,,4
,,,,,,,,,,,,,9,,150,13,,3
,,,,,,,,,,,,,10,,350,6,,4
,,,,,,,,,,,,,11,,288,16,,4
,,,,,,,,,,,,,12,,175,10,,3
,,,,,,,,,,,,,13,,354,12,,4
,,,,,,,,,,,,,14,,125,18,,3
,,,,,,,,,,,,,15,,375,4,,4
,,,,,,,,,,,,,16,,470,14,,5
,,,,,,,,,,,,,17,,159,8,,3
,,,,,,,,,,,,,18,,430,2,,4
Aberdovey Golf Club,United Kingdom,Gwynedd,Tywyn Road! Aberdovey,LL35 ORT,01654 767493,sec@aberdoveygolf.co.uk,http://www.aberdoveygolf.co.uk/,Aberdovey,White,,,66,1,,441,10,,4
,,,,,,,,,,,,,2,,332,8,,4
,,,,,,,,,,,,,3,,173,17,,3
,,,,,,,,,,,,,4,,401,3,,4
,,,,,,,,,,,,,5,,202,13,,3
,,,,,,,,,,,,,6,,402,6,,4
,,,,,,,,,,,,,7,,482,2,,5
,,,,,,,,,,,,,8,,335,15,,4
,,,,,,,,,,,,,9,,160,12,,3
,,,,,,,,,,,,,10,,415,5,,4
,,,,,,,,,,,,,11,,407,9,,4
,,,,,,,,,,,,,12,,149,18,,3
,,,,,,,,,,,,,13,,530,1,,5
